41.689306,-84.806063
 41.695876,-84.80601
 41.696092,-84.805698
 41.698167,-84.745188
 41.698928,-84.718419
 41.699785,-84.679881
 41.70025,-84.650699
 41.700987,-84.624349
 41.701403,-84.592581
 41.703213,-84.515076
 41.703758,-84.476709
 41.704895,-84.438772
 41.706554,-84.360065
 41.709749,-84.249011
 41.710967,-84.192266
 41.714843,-84.076223
 41.715348,-84.056053
 41.716092,-84.036666
 41.716637,-84.017698
 41.716717,-84.000521
 41.717334,-83.976746
 41.718695,-83.93839
 41.71912,-83.91881
 41.719904,-83.899251
 41.720049,-83.88025
 41.721074,-83.859082
 41.721834,-83.820534
 41.722467,-83.802241
 41.723444,-83.765001
 41.724805,-83.725262
 41.725181,-83.71007
 41.726567,-83.685704
 41.726855,-83.665524
 41.728761,-83.605614
 41.730114,-83.547678
 41.731651,-83.50193
 41.732476,-83.471353
 41.732404,-83.464744
 41.733076,-83.447599
 41.733757,-83.416121
 41.733941,-83.415617
 41.742643,-83.403815
 41.753129,-83.390468
 41.764918,-83.375062
 41.81509,-83.305217
 41.85867,-83.248826
 41.950849,-83.12538
 41.959361,-83.112676
 41.869505,-83.071886
 41.863672,-83.069226
 41.863469,-83.068998
 41.676556,-82.679821
 41.676526,-82.39745
 41.878836,-81.958716
 42.080921,-81.520454
 42.082227,-81.517493
 42.082864,-81.516227
 42.207583,-81.245531
 42.323326,-80.51984
 42.249066,-80.519807
 42.204386,-80.519475
 42.071684,-80.519743
 41.919802,-80.519228
 41.885625,-80.519432
 41.757891,-80.519325
 41.752833,-80.519443
 41.669025,-80.519443
 41.628427,-80.519314
 41.543557,-80.519357
 41.528909,-80.519164
 41.494202,-80.519164
 41.473562,-80.519357
 41.460828,-80.519153
 41.437016,-80.519153
 41.435222,-80.519013
 41.404521,-80.519003
 41.380689,-80.519249
 41.3642,-80.519249
 41.361494,-80.519089
 41.267856,-80.519121
 41.265792,-80.518842
 41.250435,-80.518713
 41.248217,-80.519078
 41.228975,-80.519121
 41.221672,-80.519056
 41.221535,-80.518842
 41.220268,-80.518895
 41.21997,-80.518895
 41.210939,-80.518842
 41.208259,-80.519121
 41.188957,-80.51897
 41.186809,-80.518477
 41.186067,-80.518713
 41.185251,-80.519271
 41.184799,-80.519282
 41.182554,-80.51897
 41.161815,-80.519228
 41.150813,-80.519056
 41.118636,-80.518992
 41.104927,-80.519207
 41.07077,-80.518938
 41.046953,-80.51911
 41.041386,-80.518842
 41.029344,-80.519207
 41.014685,-80.518906
 41.013794,-80.519046
 40.922098,-80.519024
 40.906856,-80.519893
 40.895689,-80.519657
 40.874998,-80.518906
 40.841306,-80.519121
 40.799281,-80.51911
 40.793685,-80.51896
 40.749817,-80.519142
 40.722567,-80.518938
 40.639383,-80.519003
 40.638699,-80.519174
 40.636948,-80.521964
 40.636004,-80.525944
 40.635939,-80.527146
 40.636207,-80.529828
 40.635963,-80.531384
 40.634758,-80.534613
 40.634082,-80.535332
 40.633765,-80.536426
 40.632942,-80.537853
 40.632617,-80.53898
 40.632136,-80.539366
 40.631257,-80.542252
 40.630508,-80.543711
 40.629702,-80.545803
 40.629262,-80.547498
 40.629099,-80.549891
 40.628839,-80.551028
 40.626811,-80.554268
 40.625899,-80.556983
 40.624938,-80.558249
 40.623644,-80.560727
 40.622764,-80.561939
 40.619841,-80.565255
 40.618684,-80.566199
 40.617731,-80.567476
 40.615622,-80.571402
 40.615044,-80.573033
 40.614254,-80.576434
 40.614115,-80.578827
 40.614685,-80.581713
 40.615076,-80.582796
 40.616119,-80.58462
 40.620158,-80.589191
 40.621119,-80.591208
 40.622495,-80.592152
 40.622789,-80.592613
 40.623595,-80.594062
 40.624344,-80.596068
 40.625272,-80.599415
 40.625321,-80.601819
 40.624946,-80.604168
 40.623611,-80.609393
 40.623212,-80.610391
 40.622504,-80.613878
 40.621217,-80.61715
 40.620549,-80.619779
 40.620158,-80.62274
 40.620223,-80.625722
 40.6198,-80.627428
 40.61813,-80.630261
 40.617251,-80.632374
 40.616127,-80.634252
 40.614571,-80.635486
 40.613757,-80.636376
 40.612926,-80.636827
 40.612576,-80.637192
 40.6119,-80.637985
 40.610882,-80.639842
 40.609619,-80.640528
 40.606899,-80.642706
 40.603698,-80.644916
 40.602794,-80.646268
 40.600928,-80.647974
 40.598818,-80.65086
 40.597686,-80.651804
 40.597254,-80.652609
 40.597057,-80.653234
 40.596054,-80.654684
 40.596126,-80.654846
 40.597735,-80.653177
 40.597596,-80.65366
 40.597091,-80.654379
 40.59679,-80.654808
 40.596472,-80.655248
 40.591715,-80.662351
 40.590704,-80.663552
 40.587836,-80.665795
 40.585237,-80.666889
 40.583559,-80.66779
 40.582654,-80.667951
 40.578849,-80.667855
 40.577945,-80.667769
 40.574807,-80.666975
 40.573903,-80.666921
 40.573568,-80.666728
 40.573683,-80.665634
 40.573389,-80.665194
 40.572696,-80.664432
 40.571556,-80.663563
 40.570309,-80.662812
 40.569909,-80.662758
 40.569807,-80.662914
 40.570156,-80.664333
 40.569971,-80.664356
 40.569869,-80.664185
 40.569331,-80.663198
 40.565867,-80.65631
 40.562639,-80.65262
 40.558963,-80.649551
 40.548937,-80.641912
 40.5476,-80.640346
 40.544966,-80.638533
 40.543034,-80.636955
 40.541836,-80.635175
 40.540988,-80.634778
 40.539871,-80.633737
 40.538615,-80.632975
 40.537987,-80.630722
 40.537694,-80.630282
 40.536495,-80.629445
 40.536426,-80.629115
 40.536748,-80.628957
 40.536446,-80.628469
 40.535737,-80.627503
 40.535419,-80.62731
 40.53413,-80.626742
